total_seconds_elapsed,timestamp,movement,status
0,Mon Jan  1 00:00:00 1900,False,False
30,Mon Jan  1 00:00:30 1900,True,True
60,Mon Jan  1 00:01:00 1900,False,False
90,Mon Jan  1 00:01:30 1900,False,False
120,Mon Jan  1 00:02:00 1900,False,False
150,Mon Jan  1 00:02:30 1900,False,False
180,Mon Jan  1 00:03:00 1900,False,False
210,Mon Jan  1 00:03:30 1900,False,False
240,Mon Jan  1 00:04:00 1900,True,True
270,Mon Jan  1 00:04:30 1900,True,True
300,Mon Jan  1 00:05:00 1900,True,True
330,Mon Jan  1 00:05:30 1900,False,False
360,Mon Jan  1 00:06:00 1900,False,False
390,Mon Jan  1 00:06:30 1900,False,False
420,Mon Jan  1 00:07:00 1900,False,False
450,Mon Jan  1 00:07:30 1900,False,False
480,Mon Jan  1 00:08:00 1900,False,False
510,Mon Jan  1 00:08:30 1900,False,False
540,Mon Jan  1 00:09:00 1900,False,False
570,Mon Jan  1 00:09:30 1900,False,False
600,Mon Jan  1 00:10:00 1900,False,False
630,Mon Jan  1 00:10:30 1900,False,False
660,Mon Jan  1 00:11:00 1900,True,True
690,Mon Jan  1 00:11:30 1900,False,False
720,Mon Jan  1 00:12:00 1900,True,True
750,Mon Jan  1 00:12:30 1900,False,False
780,Mon Jan  1 00:13:00 1900,False,False
810,Mon Jan  1 00:13:30 1900,True,True
840,Mon Jan  1 00:14:00 1900,True,True
870,Mon Jan  1 00:14:30 1900,True,True
900,Mon Jan  1 00:15:00 1900,True,True
930,Mon Jan  1 00:15:30 1900,True,True
960,Mon Jan  1 00:16:00 1900,False,False
990,Mon Jan  1 00:16:30 1900,True,True
1020,Mon Jan  1 00:17:00 1900,False,False
1050,Mon Jan  1 00:17:30 1900,False,False
1080,Mon Jan  1 00:18:00 1900,True,True
1110,Mon Jan  1 00:18:30 1900,False,False
1140,Mon Jan  1 00:19:00 1900,True,True
1170,Mon Jan  1 00:19:30 1900,True,True
1200,Mon Jan  1 00:20:00 1900,True,True
1230,Mon Jan  1 00:20:30 1900,True,True
1260,Mon Jan  1 00:21:00 1900,True,True
1290,Mon Jan  1 00:21:30 1900,True,True
1320,Mon Jan  1 00:22:00 1900,False,False
1350,Mon Jan  1 00:22:30 1900,True,True
1380,Mon Jan  1 00:23:00 1900,False,False
1410,Mon Jan  1 00:23:30 1900,False,False
1440,Mon Jan  1 00:24:00 1900,False,False
1470,Mon Jan  1 00:24:30 1900,True,True
1500,Mon Jan  1 00:25:00 1900,True,True
1530,Mon Jan  1 00:25:30 1900,True,True
1560,Mon Jan  1 00:26:00 1900,True,True
1590,Mon Jan  1 00:26:30 1900,False,False
1620,Mon Jan  1 00:27:00 1900,True,True
1650,Mon Jan  1 00:27:30 1900,False,False
1680,Mon Jan  1 00:28:00 1900,False,False
