timestamp,total_seconds_elapsed,movement,status
Mon Jan  1 00:00:00 1900,0,yes,Off
Mon Jan  1 00:00:30 1900,30,yes,Off
Mon Jan  1 00:01:00 1900,60,yes,Off
Mon Jan  1 00:01:30 1900,90,yes,Off
Mon Jan  1 00:02:00 1900,120,yes,Off
Mon Jan  1 00:02:30 1900,150,yes,Off
Mon Jan  1 00:03:00 1900,180,yes,Off
Mon Jan  1 00:03:30 1900,210,yes,Off
Mon Jan  1 00:04:00 1900,240,yes,Off
Mon Jan  1 00:04:30 1900,270,yes,On
Mon Jan  1 00:05:00 1900,300,yes,Off
Mon Jan  1 00:05:30 1900,330,yes,Off
Mon Jan  1 00:06:00 1900,360,yes,On
Mon Jan  1 00:06:30 1900,390,yes,Off
Mon Jan  1 00:07:00 1900,420,yes,On
Mon Jan  1 00:07:30 1900,450,yes,Off
Mon Jan  1 00:08:00 1900,480,yes,Off
Mon Jan  1 00:08:30 1900,510,yes,Off
Mon Jan  1 00:09:00 1900,540,yes,On
Mon Jan  1 00:09:30 1900,570,yes,Off
Mon Jan  1 00:10:00 1900,600,yes,On
Mon Jan  1 00:10:30 1900,630,yes,On
Mon Jan  1 00:11:00 1900,660,yes,On
Mon Jan  1 00:11:30 1900,690,yes,On
Mon Jan  1 00:12:00 1900,720,yes,On
Mon Jan  1 00:12:30 1900,750,yes,On
Mon Jan  1 00:13:00 1900,780,yes,On
Mon Jan  1 00:13:30 1900,810,yes,On
Mon Jan  1 00:14:00 1900,840,yes,On
Mon Jan  1 00:14:30 1900,870,yes,On
Mon Jan  1 00:15:00 1900,900,yes,On
Mon Jan  1 00:15:30 1900,930,yes,On
Mon Jan  1 00:16:00 1900,960,yes,On
Mon Jan  1 00:16:30 1900,990,yes,On
Mon Jan  1 00:17:00 1900,1020,yes,On
Mon Jan  1 00:17:30 1900,1050,yes,On
Mon Jan  1 00:18:00 1900,1080,yes,On
Mon Jan  1 00:18:30 1900,1110,yes,On
Mon Jan  1 00:19:00 1900,1140,yes,On
Mon Jan  1 00:19:30 1900,1170,yes,On
Mon Jan  1 00:20:00 1900,1200,yes,On
Mon Jan  1 00:20:30 1900,1230,yes,On
Mon Jan  1 00:21:00 1900,1260,yes,On
Mon Jan  1 00:21:30 1900,1290,yes,On
Mon Jan  1 00:22:00 1900,1320,yes,On
Mon Jan  1 00:22:30 1900,1350,yes,On
Mon Jan  1 00:23:00 1900,1380,yes,On
Mon Jan  1 00:23:30 1900,1410,yes,On
Mon Jan  1 00:24:00 1900,1440,yes,On
Mon Jan  1 00:24:30 1900,1470,yes,On
Mon Jan  1 00:25:00 1900,1500,yes,On
Mon Jan  1 00:25:30 1900,1530,yes,On
Mon Jan  1 00:26:00 1900,1560,yes,On
Mon Jan  1 00:26:30 1900,1590,yes,On
Mon Jan  1 00:27:00 1900,1620,yes,On
Mon Jan  1 00:27:30 1900,1650,yes,On
Mon Jan  1 00:28:00 1900,1680,yes,On
Mon Jan  1 00:28:30 1900,1710,yes,On
Mon Jan  1 00:29:00 1900,1740,yes,On
Mon Jan  1 00:29:30 1900,1770,yes,On
Mon Jan  1 00:30:00 1900,1800,yes,On
Mon Jan  1 00:30:30 1900,1830,yes,On
Mon Jan  1 00:31:00 1900,1860,yes,On
Mon Jan  1 00:31:30 1900,1890,yes,On
Mon Jan  1 00:32:00 1900,1920,yes,On
Mon Jan  1 00:32:30 1900,1950,yes,On
Mon Jan  1 00:33:00 1900,1980,yes,On
Mon Jan  1 00:33:30 1900,2010,yes,On
Mon Jan  1 00:34:00 1900,2040,yes,On
Mon Jan  1 00:34:30 1900,2070,yes,On
Mon Jan  1 00:35:00 1900,2100,yes,On
Mon Jan  1 00:35:30 1900,2130,yes,On
Mon Jan  1 00:36:00 1900,2160,yes,On
Mon Jan  1 00:36:30 1900,2190,yes,On
Mon Jan  1 00:37:00 1900,2220,yes,On
Mon Jan  1 00:37:30 1900,2250,yes,On
Mon Jan  1 00:38:00 1900,2280,yes,On
Mon Jan  1 00:38:30 1900,2310,yes,On
Mon Jan  1 00:39:00 1900,2340,yes,On
Mon Jan  1 00:39:30 1900,2370,yes,On
Mon Jan  1 00:40:00 1900,2400,yes,On
Mon Jan  1 00:40:30 1900,2430,yes,On
Mon Jan  1 00:41:00 1900,2460,yes,On
Mon Jan  1 00:41:30 1900,2490,yes,On
Mon Jan  1 00:42:00 1900,2520,yes,On
Mon Jan  1 00:42:30 1900,2550,yes,On
Mon Jan  1 00:43:00 1900,2580,yes,On
Mon Jan  1 00:43:30 1900,2610,yes,On
Mon Jan  1 00:44:00 1900,2640,yes,On
Mon Jan  1 00:44:30 1900,2670,yes,On
Mon Jan  1 00:45:00 1900,2700,yes,On
Mon Jan  1 00:45:30 1900,2730,yes,On
Mon Jan  1 00:46:00 1900,2760,yes,On
Mon Jan  1 00:46:30 1900,2790,yes,On
Mon Jan  1 00:47:00 1900,2820,yes,On
Mon Jan  1 00:47:30 1900,2850,yes,On
Mon Jan  1 00:48:00 1900,2880,yes,On
Mon Jan  1 00:48:30 1900,2910,yes,On
Mon Jan  1 00:49:00 1900,2940,yes,On
Mon Jan  1 00:49:30 1900,2970,yes,On
Mon Jan  1 00:50:00 1900,3000,yes,On
Mon Jan  1 00:50:30 1900,3030,yes,On
Mon Jan  1 00:51:00 1900,3060,yes,On
Mon Jan  1 00:51:30 1900,3090,yes,On
Mon Jan  1 00:52:00 1900,3120,yes,On
Mon Jan  1 00:52:30 1900,3150,yes,On
Mon Jan  1 00:53:00 1900,3180,yes,On
Mon Jan  1 00:53:30 1900,3210,yes,On
Mon Jan  1 00:54:00 1900,3240,yes,On
Mon Jan  1 00:54:30 1900,3270,yes,On
Mon Jan  1 00:55:00 1900,3300,yes,On
Mon Jan  1 00:55:30 1900,3330,yes,On
Mon Jan  1 00:56:00 1900,3360,yes,On
Mon Jan  1 00:56:30 1900,3390,yes,On
Mon Jan  1 00:57:00 1900,3420,yes,On
Mon Jan  1 00:57:30 1900,3450,yes,On
Mon Jan  1 00:58:00 1900,3480,yes,On
Mon Jan  1 00:58:30 1900,3510,yes,On
Mon Jan  1 00:59:00 1900,3540,yes,On
Mon Jan  1 00:59:30 1900,3570,yes,On
Mon Jan  1 01:00:00 1900,3600,yes,On
Mon Jan  1 01:00:30 1900,3630,yes,On
Mon Jan  1 01:01:00 1900,3660,yes,On
Mon Jan  1 01:01:30 1900,3690,yes,On
Mon Jan  1 01:02:00 1900,3720,yes,On
Mon Jan  1 01:02:30 1900,3750,yes,On
Mon Jan  1 01:03:00 1900,3780,yes,On
Mon Jan  1 01:03:30 1900,3810,yes,On
Mon Jan  1 01:04:00 1900,3840,yes,On
Mon Jan  1 01:04:30 1900,3870,yes,On
Mon Jan  1 01:05:00 1900,3900,yes,On
Mon Jan  1 01:05:30 1900,3930,yes,On
Mon Jan  1 01:06:00 1900,3960,yes,On
Mon Jan  1 01:06:30 1900,3990,yes,On
Mon Jan  1 01:07:00 1900,4020,yes,On
Mon Jan  1 01:07:30 1900,4050,yes,On
Mon Jan  1 01:08:00 1900,4080,yes,On
Mon Jan  1 01:08:30 1900,4110,yes,On
Mon Jan  1 01:09:00 1900,4140,yes,On
Mon Jan  1 01:09:30 1900,4170,yes,On
Mon Jan  1 01:10:00 1900,4200,yes,On
Mon Jan  1 01:10:30 1900,4230,yes,On
Mon Jan  1 01:11:00 1900,4260,yes,On
Mon Jan  1 01:11:30 1900,4290,yes,On
Mon Jan  1 01:12:00 1900,4320,yes,On
Mon Jan  1 01:12:30 1900,4350,yes,On
Mon Jan  1 01:13:00 1900,4380,yes,On
Mon Jan  1 01:13:30 1900,4410,yes,On
